name,score,issn
Living Reviews in Relativity,62.5,1433-8351
eLight,32.1,2662-8643
Living Reviews in Solar Physics,27.6,1614-4961
Military Medical Research,22.9,2054-9369
International Journal of Extreme Manufacturing,21.3,2631-7990
Computational Visual Media,18.3,2096-0662
Nano Materials Science,17.9,2589-9651
Energy Material Advances,15.9,2692-7640
Green Energy & Environment,14.6,2468-0257
Carbon Neutrality,12.5,2731-3948
JOURNAL OF BIOMEDICAL SCIENCE,12.1,1423-0127
Advanced Industrial and Engineering Polymer Research,12.0,2542-5048
Asian Journal of Pharmaceutical Sciences,11.9,1818-0876
Biofuel Research Journal-BRJ,11.9,2292-8782
Industrial Chemistry & Materials,11.9,2755-2500
Facta Universitatis-Series Mechanical Engineering,11.8,2335-0164
Journal of Ocean Engineering and Science,11.8,2468-0133
Materials Futures,10.8,2752-5724
Light-Advanced Manufacturing,10.6,2831-4093
ACS Central Science,10.4,2374-7951
Journal of Sport and Health Science,10.3,2213-2961
Journal of Rock Mechanics and Geotechnical Engineering,10.2,2589-0417
Satellite Navigation,10.1,2662-1363
Ultrafast Science,9.9,2765-8791
ENVIRONMENTAL HEALTH PERSPECTIVES,9.8,1552-9924
Journal of Physiotherapy,9.4,1836-9561
CCS Chemistry,9.2,2096-5745
International Journal of Coal Science & Technology,8.7,2198-7823
Journal of Road Engineering,8.6,2773-0077
Journal of Stroke,8.6,2287-6405
Underground Space,8.3,2467-9674
Molecular Horticulture,8.1,2730-9401
Journal of Statistical Software,8.1,1548-7660
Petroleum Exploration and Development,8.0,1876-3804
Journal of Obesity & Metabolic Syndrome,7.9,2508-7576
Eurosurveillance,7.8,1560-7917
Chemical Science,7.5,2041-6539
Digital Communications and Networks,7.5,2352-8648
Information Processing in Agriculture,7.4,2214-3173
Financial Innovation,7.2,2199-4730
Campbell Systematic Reviews,7.1,1891-1803
Borsa Istanbul Review,7.1,2214-8469
Transactions of the Association for Computational Linguistics,6.9,2307-387X
Space-Science & Technology,6.8,2692-7659
Journal of Remote Sensing,6.8,2694-1589
Journal of Tourism Futures,6.6,2055-592X
Japanese Dental Science Review,6.6,2213-6851
EMERGING INFECTIOUS DISEASES,6.6,1080-6059
Natural Gas Industry B,6.5,2352-8559
Organization Theory,6.4,2631-7877
Plant Diversity,6.3,2468-2659
Korean Journal of Anesthesiology,6.3,2005-7563
ASTRONOMY & ASTROPHYSICS,6.1,1432-0746
Journal of Modern Power Systems and Clean Energy,6.1,2196-5420
Rice Science,6.1,1876-4762
Petroleum Science,6.1,1995-8226
EDUCATIONAL TECHNOLOGY & SOCIETY,6.0,1436-4522
Life Medicine,6.0,2755-1733
Visual Computing for Industry Biomedicine and Art,6.0,2524-4442
CSEE Journal of Power and Energy Systems,5.9,2096-0042
Defence Technology,5.9,2214-9147
Stress Biology,5.8,2731-0450
Food Production Processing and Nutrition,5.7,2661-8974
Journal of Computer-Mediated Communication,5.7,1083-6101
BULLETIN OF THE WORLD HEALTH ORGANIZATION,5.7,1564-0604
JOURNAL OF HIGH ENERGY PHYSICS,5.5,1029-8479
European Journal of Psychology Applied to Legal Context,5.5,1989-4007
JOURNAL OF CLINICAL MICROBIOLOGY,5.4,1098-660X
SciPost Physics,5.4,2542-4653
Studies in Second Language Learning and Teaching,5.4,2084-1965
COMPUTATIONAL LINGUISTICS,5.3,1530-9312
International Journal of Innovation Studies,5.3,2589-2975
Spanish Journal of Marketing-ESIC,5.3,2444-9709
Frontiers of Optoelectronics,5.2,2095-2767
Green Finance,5.0,2643-1092
iEnergy,5.0,2771-9197
Natural Products and Bioprospecting,4.9,2192-2209
EXCLI Journal,4.9,1611-2156
Applied Computing and Informatics,4.9,2210-8327
Chinese Journal of Population Resources and Environment,4.8,2325-4262
EUROPEAN PHYSICAL JOURNAL C,4.8,1434-6052
Brain Circulation,4.8,2455-4626
Cell Regeneration,4.7,2045-9769
Matter and Radiation at Extremes,4.7,2468-080X
Data Science and Engineering,4.6,2364-1541
Regional Sustainability,4.6,2666-660X
PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES,4.6,1349-2896
International Braz J Urol,4.5,1677-6119
Chinese Journal of Mechanical Engineering,4.5,2192-8258
PHYSICS LETTERS B,4.5,1873-2445
Psychosocial Intervention,4.4,2173-4712
Knee Surgery & Related Research,4.4,2234-2451
Intelligent Computing,4.4,2771-5892
ADMET and DMPK,4.3,1848-7718
Tourism & Management Studies,4.3,2182-8466
Water Science and Engineering,4.3,2405-8106
Acupuncture and Herbal Medicine,4.3,2765-8619
Family Medicine and Community Health,4.3,2009-8774
Journal of Economics and Development,4.3,2632-5330
Australasian Journal of Educational Technology,4.2,1449-5554
Australian Prescriber,4.2,1839-3942
Animal Frontiers,4.2,2160-6064
Endocrinology and Metabolism,4.2,2093-5978
LANGUAGE LEARNING & TECHNOLOGY,4.1,1094-3501
Journal of Taibah University for Science,4.1,1658-3655
Enterprise Modelling and Information Systems Architectures-An International Journal,4.1,1866-3621
Advanced Pharmaceutical Bulletin,4.1,2251-7308
International Journal of Disaster Risk Science,4.0,2192-6395
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,4.0,1943-5037
Functional Diamond,4.0,2694-1120
HEALTH TECHNOLOGY ASSESSMENT,4.0,2046-4924
European Journal of Tourism Research,3.9,1314-0817
YALE JOURNAL OF BIOLOGY AND MEDICINE,3.9,1551-4056
Energetic Materials Frontiers,3.9,2666-6472
Visual Informatics,3.9,2468-502X
RSF-The Russell Sage Journal of the Social Sciences,3.9,2377-8261
Preventing Chronic Disease,3.9,1545-1151
Balkan Medical Journal,3.8,2146-3131
Journal of Information Technology in Construction,3.8,1874-4753
Kidney Research and Clinical Practice,3.8,2211-9140
Asia Pacific Journal of Innovation and Entrepreneurship,3.8,2398-7812
Journal of Virology,3.8,1098-5514
APPLIED AND ENVIRONMENTAL MICROBIOLOGY,3.7,1098-5336
Journal of Educational Evaluation for Health Professions,3.7,1975-5937
Photonic Sensors,3.7,2190-7439
Journal of Management Science and Engineering,3.7,2589-5532
Inteligencia Artificial-Iberoamerican Journal of Artificial Intelligence,3.7,1988-3064
European Journal of Management and Business Economics,3.7,2444-8494
Cybersecurity,3.7,2523-3246
Clean Energy,3.7,2515-396X
Geochemical Perspectives Letters,3.7,2410-3403
ANAIS BRASILEIROS DE DERMATOLOGIA,3.6,1806-4841
Water Alternatives-An Interdisciplinary Journal on Water Politics and Development,3.6,1965-0175
Clinical Hypertension,3.6,2056-5909
Journal of Asian Business and Economic Studies,3.6,2515-964X
Phytopathology Research,3.5,2524-4167
Chinese Journal of Electrical Engineering,3.5,2836-4619
Environment and Society-Advances in Research,3.5,2150-6787
Perspectives in Ecology and Conservation,3.5,2530-0644
Entrepreneurial Business and Economics Review,3.4,2353-8821
Life Metabolism,3.4,2755-0230
Journal of Applied and Computational Mechanics,3.4,2383-4536
Global Media and China,3.4,2059-4372
Journal of Mass Spectrometry and Advances in the Clinical Lab,3.4,2667-145X
BRQ-Business Research Quarterly,3.4,2340-9444
Journal of Southern Hemisphere Earth Systems Science,3.3,2206-5865
Innoeduca-International Journal of Technology and Educational Innovation,3.3,2444-2925
Geodesy and Geodynamics,3.3,1674-9847
Annals of Pediatric Endocrinology & Metabolism,3.3,2287-1292
EFSA Journal,3.3,1831-4732
Internet Policy Review,3.2,2197-6775
World Journal of Traditional Chinese Medicine,3.2,2589-2894
ANGLE ORTHODONTIST,3.2,1945-7103
KONA Powder and Particle Journal,3.2,2187-5537
Computational Urban Science,3.2,2730-6852
Magnetic Resonance in Medical Sciences,3.2,1880-2206
International Journal of Industrial Engineering and Management,3.2,2683-345X
Journal of Clinical Neurology,3.1,2005-5013
Empirical Research in Vocational Education and Training,3.1,1877-6345
SALUD PUBLICA DE MEXICO,3.1,1606-7916
SciPost Physics Core,3.1,2666-9366
Korean Journal of Pain,3.1,2093-0569
Integrative Medicine Research,3.0,2213-4239
Journal of Rheumatic Diseases,3.0,2233-4718
Educacion XX1,3.0,2174-5374
JOURNAL OF BACTERIOLOGY,3.0,1098-5530
Communications in Analysis and Mechanics,3.0,2836-3310
Research and Practice in Technology Enhanced Learning,3.0,1793-7078
Hellenic Journal of Cardiology,3.0,2241-5955
Large-Scale Assessments in Education,3.0,2196-0739
Jornal Brasileiro de Pneumologia,3.0,1806-3756
Precision and Future Medicine,3.0,2508-7959
Journal of Traditional and Complementary Medicine,3.0,2225-4110
Annals of Forest Research,2.9,2065-2445
Archives of Physiotherapy,2.9,2057-0082
Psychoradiology,2.9,2634-4416
Journal of Mining Institute,2.9,2541-9404
Laboratory Animal Research,2.9,2233-7660
Comparative Cognition & Behavior Reviews,2.9,1911-4745
Urban Rail Transit,2.9,2199-6679
IJISPM-International Journal of Information Systems and Project Management,2.9,2182-7788
Infection and Chemotherapy,2.9,2092-6448
Informatics in Education,2.8,2335-8971
Scientific Drilling,2.8,1816-3459
Journal of Humanitarian Logistics and Supply Chain Management,2.8,2042-6755
Knowledge Management & E-Learning-An International Journal,2.8,2073-7904
Osteoporosis and Sarcopenia,2.8,2405-5263
Frontiers of Agricultural Science and Engineering,2.8,2095-977X
INFECTION AND IMMUNITY,2.8,1098-5522
Journal of Movement Disorders,2.8,2093-4939
Health Promotion Perspectives,2.8,2228-6497
NUCLEAR PHYSICS B,2.8,1873-1562
Nanotechnology and Precision Engineering,2.7,2589-5540
Future Business Journal,2.7,2314-7210
Beilstein Journal of Nanotechnology,2.7,2190-4286
Blood Science,2.7,2543-6368
Journal of Work-Applied Management,2.7,2205-149X
Asian Spine Journal,2.7,1976-7846
Journal of Pacific Archaeology,2.7,1179-4712
Mathematical Modelling and Control,2.7,2767-8946
Korean Journal of Family Medicine,2.6,2092-6715
INTERNATIONAL LABOUR REVIEW,2.6,1564-913X
Global Energy Interconnection-China,2.6,2590-0358
ECNU Review of Education,2.6,2632-1742
Brazilian Journal of Psychiatry,2.6,1809-452X
NEFROLOGIA,2.6,1989-2284
Express Polymer Letters,2.6,1788-618X
Nuclear Engineering and Technology,2.6,1738-5733
Journal of Applied Oral Science,2.6,1678-7765
Methods Data Analyses,2.6,2190-4936
Journal of Electrochemical Science and Engineering,2.6,1847-9286
Bayesian Analysis,2.5,1936-0975
Ultrasonography,2.5,2288-5943
Bulletin of Mathematical Sciences,2.5,1664-3615
Harvard Data Science Review,2.5,2644-2353
BioMedicine-Taiwan,2.5,2211-8039
MEMORIAS DO INSTITUTO OSWALDO CRUZ,2.5,1678-8060
Applied Economic Analysis,2.5,2632-7627
FOOD TECHNOLOGY AND BIOTECHNOLOGY,2.5,1334-2606
Rural and Remote Health,2.5,1445-6354
Zdravstveno Varstvo,2.5,1854-2476
Volcanica,2.5,2610-3540
Journal of the Canadian Health Libraries Association,2.5,1708-6892
Quantitative Finance and Economics,2.5,2573-0134
Journal of Law and the Biosciences,2.4,2053-9711
OCEANOLOGIA,2.4,2300-7370
Prospects in Pharmaceutical Sciences,2.4,2957-0468
Clinical Psychology in Europe,2.4,2625-3410
International Journal of Interactive Multimedia and Artificial Intelligence,2.4,1989-1660
